event_id,customer_id,session_id,event_type,event_timestamp,page_url,product_id,category_id,referrer_source,device_type,user_agent,ip_address
evt_000001,cust_14640,sess_b57217b3,product_view,2026-04-08 15:14:25,tags/blog,prod_3109,cat_electronics,instagram,mobile,"Mozilla/5.0 (Macintosh; PPC Mac OS X 10_9_8) AppleWebKit/531.1 (KHTML, like Gecko) Chrome/58.0.898.0 Safari/531.1",75.190.98.7
evt_000002,cust_75947,sess_5725c8cd,purchase,2026-04-06 22:25:15,blog/explore/search,prod_8348,cat_beauty,email,mobile,"Mozilla/5.0 (iPhone; CPU iPhone OS 17_4_1 like Mac OS X) AppleWebKit/534.1 (KHTML, like Gecko) FxiOS/10.2g3285.0 Mobile/49P012 Safari/534.1",150.166.149.237
evt_000003,cust_22591,sess_1fdca06a,remove_from_cart,2026-04-25 07:48:01,tags/blog,,,email,desktop,Mozilla/5.0 (Windows NT 4.0; fi-FI; rv:1.9.2.20) Gecko/9941-07-07 12:17:34 Firefox/3.8,150.71.132.19
evt_000004,cust_76985,sess_6ab7b5ff,add_to_cart,2026-04-06 08:31:53,blog/explore/search,prod_1048,cat_electronics,twitter,desktop,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/28.0.820.0 Safari/532.2",45.20.217.245
evt_000005,cust_97081,sess_36041e7f,add_to_cart,2026-04-13 08:15:25,explore/list/app,prod_5915,cat_clothing,facebook,desktop,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/535.12.6 (KHTML, like Gecko) Version/4.0.3 Safari/535.12.6",156.204.191.125
evt_000006,cust_22284,sess_eefd2d48,page_view,2026-04-11 11:20:10,app/tag/blog,,,email,tablet,"Mozilla/5.0 (iPhone; CPU iPhone OS 13_7 like Mac OS X) AppleWebKit/531.2 (KHTML, like Gecko) CriOS/17.0.847.0 Mobile/24L498 Safari/531.2",157.96.163.76
evt_000007,cust_42450,sess_cae47e93,remove_from_cart,2026-03-28 12:21:44,search/categories/tag,,,facebook,desktop,Opera/8.22.(X11; Linux i686; fi-FI) Presto/2.9.171 Version/12.00,186.206.214.110
evt_000008,cust_53685,sess_cf87a72f,checkout_start,2026-04-12 21:22:14,explore,,,email,desktop,Mozilla/5.0 (compatible; MSIE 7.0; Windows NT 6.2; Trident/4.0),88.235.208.86
evt_000009,cust_49144,sess_dc5369e9,checkout_start,2026-04-22 05:29:20,explore/list/app,,,facebook,mobile,"Mozilla/5.0 (Windows; U; Windows 98) AppleWebKit/532.48.3 (KHTML, like Gecko) Version/4.0 Safari/532.48.3",113.199.112.12
evt_000010,cust_82765,sess_71ba93be,remove_from_cart,2026-04-14 06:22:02,explore/list/app,,,email,mobile,Mozilla/5.0 (compatible; MSIE 9.0; Windows 98; Trident/3.1),104.27.86.245
evt_000011,cust_28833,sess_6c0b4ba8,remove_from_cart,2026-04-04 12:12:14,explore/list/app,,,email,mobile,"Mozilla/5.0 (iPad; CPU iPad OS 11_4_1 like Mac OS X) AppleWebKit/534.2 (KHTML, like Gecko) FxiOS/14.1x0702.0 Mobile/83E057 Safari/534.2",149.180.152.50
evt_000012,cust_40151,sess_104ed2ae,checkout_start,2026-03-29 11:17:37,tags/blog,,,google,tablet,Mozilla/5.0 (compatible; MSIE 5.0; Windows NT 6.2; Trident/5.0),207.16.56.89
evt_000013,cust_87771,sess_91d0382f,product_view,2026-04-03 07:50:36,search/categories/tag,prod_7952,cat_home,twitter,tablet,"Mozilla/5.0 (Windows; U; Windows NT 5.0) AppleWebKit/531.33.4 (KHTML, like Gecko) Version/5.0 Safari/531.33.4",19.197.229.162
evt_000014,cust_61494,sess_a2afb2e4,purchase,2026-03-30 07:32:51,search/categories/tag,prod_1975,cat_electronics,email,desktop,"Mozilla/5.0 (iPod; U; CPU iPhone OS 4_1 like Mac OS X; ha-NG) AppleWebKit/532.13.1 (KHTML, like Gecko) Version/3.0.5 Mobile/8B117 Safari/6532.13.1",119.210.2.239
evt_000015,cust_29154,sess_628a9b76,checkout_start,2026-04-13 16:19:34,explore,,,twitter,desktop,Mozilla/5.0 (compatible; MSIE 9.0; Windows CE; Trident/5.0),62.133.130.95
evt_000016,cust_83906,sess_82053052,add_to_cart,2026-04-22 13:10:33,app/tag/blog,prod_8802,cat_home,facebook,tablet,"Mozilla/5.0 (Windows CE) AppleWebKit/532.2 (KHTML, like Gecko) Chrome/46.0.809.0 Safari/532.2",197.124.232.123
evt_000017,cust_95032,sess_3dd6d464,add_to_cart,2026-04-09 10:39:51,search/categories/tag,prod_5494,cat_home,facebook,desktop,Opera/9.92.(X11; Linux x86_64; oc-FR) Presto/2.9.162 Version/12.00,147.43.213.170
