transaction_id,order_id,customer_id,payment_method,payment_status,amount,currency,transaction_timestamp,processor_response_code,gateway_fee,merchant_id,billing_country,risk_score
txn_000001,ord_587355,cust_16398,google_pay,pending,630.81,USD,2026-04-18 16:47:23,51,2.94,merch_9892,AR,28
txn_000002,ord_877469,cust_67471,apple_pay,pending,443.43,USD,2026-04-08 02:52:31,61,0.99,merch_4676,ST,20
txn_000003,ord_523059,cust_53023,bank_transfer,refunded,1192.19,USD,2026-04-01 23:58:04,61,5.59,merch_6587,FI,85
txn_000004,ord_208789,cust_79126,debit_card,refunded,996.43,USD,2026-04-24 23:31:41,05,2.47,merch_4302,BB,27
txn_000005,ord_753290,cust_22864,google_pay,failed,692.69,USD,2026-04-18 08:15:37,14,3.16,merch_7675,GN,13
txn_000006,ord_505521,cust_42046,apple_pay,failed,315.72,USD,2026-04-24 09:36:04,05,0.72,merch_1801,FI,58
txn_000007,ord_658818,cust_42258,bank_transfer,pending,1903.03,USD,2026-04-12 16:32:09,14,5.3,merch_2613,LT,69
txn_000008,ord_264138,cust_82500,paypal,completed,805.3,USD,2026-04-13 22:02:07,51,3.18,merch_9633,CR,63
txn_000009,ord_818534,cust_74781,bank_transfer,failed,152.49,USD,2026-04-10 02:00:41,61,0.33,merch_6299,ER,64
txn_000010,ord_332920,cust_67531,google_pay,pending,630.2,USD,2026-04-22 23:59:43,51,2.03,merch_9548,ST,31
txn_000011,ord_925585,cust_77762,debit_card,pending,671.31,USD,2026-04-23 17:14:19,14,2.79,merch_3628,AR,17
txn_000012,ord_278248,cust_27134,paypal,refunded,1332.63,USD,2026-04-10 09:29:20,51,4.78,merch_5087,FI,38
txn_000013,ord_515573,cust_25632,apple_pay,completed,1987.89,USD,2026-04-17 04:27:03,51,9.76,merch_5521,UG,85
txn_000014,ord_229962,cust_35083,paypal,refunded,734.9,USD,2026-04-21 10:41:24,51,2.96,merch_6646,GN,71
txn_000015,ord_445135,cust_17779,google_pay,completed,534.08,USD,2026-04-13 00:18:41,05,2.66,merch_8040,SV,53
txn_000016,ord_153750,cust_62944,google_pay,failed,1254.76,USD,2026-04-07 17:42:24,00,4.47,merch_2144,UG,53
txn_000017,ord_430499,cust_27536,paypal,pending,45.28,USD,2026-04-06 15:43:20,14,0.17,merch_2338,BB,36
txn_000018,ord_851981,cust_46904,apple_pay,completed,589.04,USD,2026-04-08 23:07:42,61,1.3,merch_4020,SV,96
txn_000019,ord_597078,cust_54237,debit_card,completed,909.09,USD,2026-04-23 13:11:28,05,4.41,merch_6913,UG,31
txn_000020,ord_589574,cust_75676,debit_card,completed,10.91,USD,2026-03-28 09:01:50,14,0.04,merch_1321,LT,18
txn_000021,ord_538918,cust_12978,google_pay,pending,146.47,USD,2026-04-21 04:09:11,61,0.64,merch_6106,BB,52
txn_000022,ord_948301,cust_67794,apple_pay,refunded,1744.87,USD,2026-03-31 12:49:33,61,8.23,merch_1326,CR,60
txn_000023,ord_662780,cust_58082,debit_card,refunded,774.67,USD,2026-04-19 02:14:49,05,2.12,merch_1060,AR,35
txn_000024,ord_182120,cust_40489,bank_transfer,pending,178.96,USD,2026-04-17 23:44:11,05,0.64,merch_7102,CR,55
txn_000025,ord_590786,cust_35974,apple_pay,pending,338.08,USD,2026-04-05 04:42:40,85,0.88,merch_6694,LT,44
txn_000026,ord_791403,cust_76805,debit_card,completed,1127.23,USD,2026-04-10 16:42:08,05,5.1,merch_6180,CR,71
txn_000027,ord_925931,cust_35458,apple_pay,pending,1899.52,USD,2026-04-08 15:40:41,51,8.57,merch_2528,SV,95
txn_000028,ord_370155,cust_50440,debit_card,refunded,1308.74,USD,2026-03-26 15:58:55,85,4.69,merch_4422,RU,38
txn_000029,ord_842798,cust_46000,paypal,completed,1445.28,USD,2026-04-14 02:20:25,51,6.26,merch_7914,AR,65
txn_000030,ord_238758,cust_84450,paypal,completed,1161.79,USD,2026-03-31 17:42:53,05,3.07,merch_1667,AR,88
txn_000031,ord_928720,cust_16055,debit_card,pending,1280.45,USD,2026-04-21 18:02:13,51,6.02,merch_3820,UG,79
txn_000032,ord_179445,cust_85277,bank_transfer,failed,423.64,USD,2026-04-16 12:45:14,00,1.74,merch_7427,UG,96
txn_000033,ord_455982,cust_38648,bank_transfer,pending,1303.25,USD,2026-04-05 21:43:39,85,5.57,merch_5102,ST,65
txn_000034,ord_432436,cust_11851,paypal,pending,1271.9,USD,2026-04-09 14:36:49,05,4.6,merch_5784,LT,36
txn_000035,ord_352773,cust_10269,debit_card,completed,222.56,USD,2026-04-02 04:19:31,14,0.66,merch_3842,SV,25
txn_000036,ord_276857,cust_87100,debit_card,completed,638.2,USD,2026-04-04 21:42:11,14,2.73,merch_9496,GN,29
txn_000037,ord_780542,cust_44463,google_pay,failed,1947.82,USD,2026-04-14 19:19:58,51,4.98,merch_4754,LT,61
txn_000038,ord_128297,cust_37898,apple_pay,completed,130.01,USD,2026-04-20 09:48:35,51,0.48,merch_1355,ST,51
