shipment_id,order_id,carrier_name,tracking_number,shipping_method,shipping_status,shipping_date,estimated_delivery_date,actual_delivery_date,shipping_address_id,shipping_cost,weight_kg
ship_000001,ord_493069,DHL,TRK678347213,express,returned,2026-04-25 11:22:15,2026-04-27 11:22:15,,addr_8363,24.55,5.79
ship_000002,ord_835616,FedEx,TRK806143965,overnight,shipped,2026-04-15 00:29:37,2026-04-20 00:29:37,,addr_6702,41.85,14.57
ship_000003,ord_875451,USPS,TRK985250564,express,in_transit,2026-04-16 12:00:45,2026-04-21 12:00:45,2026-04-21 12:00:45,addr_3389,32.45,8.42
ship_000004,ord_135264,FedEx,TRK487990038,express,delivered,2026-04-07 08:03:30,2026-04-14 08:03:30,2026-04-14 08:03:30,addr_8599,22.89,17.13
ship_000005,ord_997207,DHL,TRK922458698,overnight,pending_pickup,2026-04-09 12:24:42,2026-04-16 12:24:42,2026-04-16 12:24:42,addr_8756,33.52,2.55
ship_000006,ord_833567,UPS,TRK968489915,economy,in_transit,2026-04-12 17:04:14,2026-04-14 17:04:14,2026-04-14 17:04:14,addr_7193,15.45,14.6
ship_000007,ord_633457,USPS,TRK782702922,standard,returned,2026-04-23 13:47:54,2026-04-26 13:47:54,2026-04-26 13:47:54,addr_6289,30.05,8.15
ship_000008,ord_854300,UPS,TRK228786916,economy,returned,2026-04-23 02:53:33,2026-04-27 02:53:33,2026-04-27 02:53:33,addr_3919,41.94,19.94
ship_000009,ord_242807,DHL,TRK604070999,standard,shipped,2026-04-14 19:03:18,2026-04-16 19:03:18,2026-04-16 19:03:18,addr_2106,31.96,17.05
ship_000010,ord_851663,UPS,TRK984131211,overnight,delivered,2026-04-19 23:08:48,2026-04-25 23:08:48,,addr_7544,21.75,13.12
ship_000011,ord_439617,USPS,TRK354956946,economy,delivered,2026-04-13 13:18:58,2026-04-18 13:18:58,,addr_4843,49.51,17.25
ship_000012,ord_862100,FedEx,TRK955674178,standard,delivered,2026-04-12 08:37:12,2026-04-17 08:37:12,2026-04-17 08:37:12,addr_5275,46.63,10.09
ship_000013,ord_649844,UPS,TRK729427576,economy,shipped,2026-04-18 17:41:11,2026-04-21 17:41:11,2026-04-21 17:41:11,addr_3540,5.76,10.22
ship_000014,ord_310419,FedEx,TRK363955238,economy,pending_pickup,2026-04-08 20:18:26,2026-04-14 20:18:26,,addr_2052,27.72,1.52
ship_000015,ord_762073,FedEx,TRK825781416,overnight,pending_pickup,2026-04-07 00:06:16,2026-04-10 00:06:16,2026-04-10 00:06:16,addr_8480,26.63,11.35
ship_000016,ord_197646,USPS,TRK452103975,express,in_transit,2026-04-12 21:43:11,2026-04-17 21:43:11,2026-04-17 21:43:11,addr_1965,32.63,16.09
ship_000017,ord_973694,USPS,TRK639373159,overnight,delivered,2026-04-06 08:52:25,2026-04-09 08:52:25,,addr_7715,17.48,14.41
ship_000018,ord_295975,Aramex,TRK751391433,standard,delivered,2026-04-20 23:13:57,2026-04-24 23:13:57,2026-04-24 23:13:57,addr_9762,45.29,8.59
ship_000019,ord_603659,FedEx,TRK910616775,overnight,returned,2026-04-17 11:30:00,2026-04-19 11:30:00,2026-04-19 11:30:00,addr_7587,23.36,5.64
ship_000020,ord_256379,USPS,TRK987987755,standard,shipped,2026-04-19 02:34:55,2026-04-23 02:34:55,,addr_7604,38.27,11.37
ship_000021,ord_983169,USPS,TRK721164841,economy,delivered,2026-04-09 21:30:23,2026-04-14 21:30:23,,addr_8692,32.92,14.93
ship_000022,ord_757045,DHL,TRK761824489,express,returned,2026-04-19 02:30:45,2026-04-26 02:30:45,2026-04-26 02:30:45,addr_5919,36.11,11.62
ship_000023,ord_958275,DHL,TRK262731199,standard,shipped,2026-04-18 13:31:20,2026-04-21 13:31:20,2026-04-21 13:31:20,addr_9484,25.93,6.75
ship_000024,ord_648800,UPS,TRK179023438,overnight,in_transit,2026-04-13 14:06:55,2026-04-16 14:06:55,2026-04-16 14:06:55,addr_5004,42.78,17.55
ship_000025,ord_100999,UPS,TRK630674308,express,pending_pickup,2026-04-12 05:25:10,2026-04-18 05:25:10,,addr_5054,49.3,17.14
ship_000026,ord_549440,FedEx,TRK651166105,economy,delivered,2026-04-06 03:12:32,2026-04-09 03:12:32,,addr_3219,43.93,4.17
ship_000027,ord_340054,FedEx,TRK949245362,overnight,pending_pickup,2026-04-10 19:20:49,2026-04-12 19:20:49,,addr_8553,34.79,5.86
ship_000028,ord_706080,DHL,TRK476262373,express,delivered,2026-04-08 03:28:59,2026-04-10 03:28:59,2026-04-10 03:28:59,addr_7115,18.77,6.17
ship_000029,ord_803352,USPS,TRK408635822,express,in_transit,2026-04-07 14:15:32,2026-04-13 14:15:32,,addr_3519,8.36,11.09
ship_000030,ord_305013,Aramex,TRK299463188,overnight,delivered,2026-04-21 18:41:50,2026-04-24 18:41:50,,addr_5669,34.28,11.2
ship_000031,ord_814080,FedEx,TRK481325840,standard,shipped,2026-04-12 12:50:33,2026-04-14 12:50:33,2026-04-14 12:50:33,addr_6865,21.47,1.67
ship_000032,ord_331123,UPS,TRK603016741,standard,pending_pickup,2026-04-24 05:01:10,2026-04-27 05:01:10,,addr_2412,45.09,9.35
ship_000033,ord_440283,FedEx,TRK631405623,express,pending_pickup,2026-04-14 16:06:02,2026-04-21 16:06:02,2026-04-21 16:06:02,addr_3115,33.06,13.47
ship_000034,ord_260484,FedEx,TRK524055715,express,in_transit,2026-04-19 03:36:33,2026-04-24 03:36:33,2026-04-24 03:36:33,addr_5363,35.58,2.98
ship_000035,ord_504389,FedEx,TRK423179157,overnight,pending_pickup,2026-04-21 21:33:59,2026-04-26 21:33:59,,addr_6588,35.81,19.18
ship_000036,ord_952345,DHL,TRK930305443,overnight,shipped,2026-04-05 16:09:45,2026-04-07 16:09:45,2026-04-07 16:09:45,addr_4070,48.09,10.44
ship_000037,ord_197933,FedEx,TRK588500975,economy,pending_pickup,2026-04-19 10:15:21,2026-04-25 10:15:21,2026-04-25 10:15:21,addr_6890,11.7,11.91
ship_000038,ord_831449,FedEx,TRK251896548,express,returned,2026-04-13 08:12:17,2026-04-16 08:12:17,2026-04-16 08:12:17,addr_4096,18.09,16.77
ship_000039,ord_237166,Aramex,TRK796867026,standard,delivered,2026-04-24 06:04:54,2026-04-29 06:04:54,2026-04-29 06:04:54,addr_4968,16.36,1.98
ship_000040,ord_348830,FedEx,TRK608434338,standard,shipped,2026-04-14 21:52:34,2026-04-19 21:52:34,2026-04-19 21:52:34,addr_5523,47.07,4.44
ship_000041,ord_496335,DHL,TRK473780208,standard,pending_pickup,2026-04-08 00:47:47,2026-04-14 00:47:47,,addr_8319,22.32,8.08
ship_000042,ord_545386,USPS,TRK559748334,standard,shipped,2026-04-23 08:45:45,2026-04-30 08:45:45,2026-04-30 08:45:45,addr_9909,29.98,10.23
ship_000043,ord_890362,UPS,TRK525874967,express,shipped,2026-04-18 23:22:46,2026-04-25 23:22:46,,addr_7710,31.46,3.92
ship_000044,ord_738947,USPS,TRK315783260,overnight,returned,2026-04-20 05:39:11,2026-04-26 05:39:11,2026-04-26 05:39:11,addr_9637,46.05,6.5
ship_000045,ord_253420,USPS,TRK311187753,economy,returned,2026-04-05 19:56:02,2026-04-08 19:56:02,2026-04-08 19:56:02,addr_2407,9.78,8.77
ship_000046,ord_319479,USPS,TRK929652220,standard,pending_pickup,2026-04-18 21:24:31,2026-04-25 21:24:31,2026-04-25 21:24:31,addr_9328,31.99,3.61
ship_000047,ord_432106,USPS,TRK987751109,express,shipped,2026-04-18 17:10:29,2026-04-20 17:10:29,2026-04-20 17:10:29,addr_9721,14.3,13.76
ship_000048,ord_338851,UPS,TRK792477451,express,shipped,2026-04-12 15:10:43,2026-04-15 15:10:43,2026-04-15 15:10:43,addr_2413,14.36,2.81
ship_000049,ord_393651,UPS,TRK814802536,standard,returned,2026-04-20 16:43:19,2026-04-27 16:43:19,2026-04-27 16:43:19,addr_4361,26.06,1.83
ship_000050,ord_767063,DHL,TRK965305895,economy,pending_pickup,2026-04-19 14:28:54,2026-04-22 14:28:54,,addr_8003,24.91,0.92
